[Thu Jul 22 11:50:34.071 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:51:59.771 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:52:00.598 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:52:06.018 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:52:06.678 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 11:52:51.916 2010] 0.001 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 11:53:09.162 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 11:53:09.951 2010] 0.001 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:01:45.211 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:02:32.292 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:02:32.917 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:04:54.821 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:04:55.487 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:05:02.563 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:07:16.199 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:07:16.793 2010] 0.001 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:09:12.029 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:09:12.699 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:09:24.319 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:11:04.563 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:11:05.319 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:11:15.957 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:15:37.262 2010] 0.001 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:15:37.721 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:15:41.041 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:16:35.887 2010] 0.001 sec [all/1/rel 0 (0,3)] [*] h
[Thu Jul 22 12:16:36.600 2010] 0.000 sec [all/1/rel 6 (0,3)] [*] hi
[Thu Jul 22 12:16:49.223 2010] 0.000 sec [all/1/rel 6 (3,3)] [*] hi
[Thu Jul 22 12:17:56.511 2010] 0.000 sec [all/1/rel 0 (0,3)] [*] h
